year_remodeled,lot_area,overall_quality,basement_sqft,living_area_sqft,sale_price
1950,5000,1,0,334,39300
1950,10020,1,683,904,61000
1950,9000,2,480,480,35311
1950,8400,2,290,438,60000
1950,6120,2,264,800,60000
1950,6627,3,0,720,72500
1950,8248,3,864,864,67000
1950,8212,3,864,864,58500
1950,9786,3,1007,1077,91000
1950,18000,3,894,894,81000
1950,5925,3,600,968,37900
1950,5790,3,840,1605,107400
1950,10410,3,672,1214,105000
1950,8544,3,0,1040,87500
1950,8544,3,0,1040,93500
1950,8544,3,0,1040,92900
1950,7200,4,0,1040,109900
1950,8400,4,721,841,82000
1950,7879,4,720,720,34900
1950,6000,4,960,960,108500
1950,11600,4,700,1180,137500
1950,3636,4,796,796,55000
1950,6240,4,780,1208,103000
1950,6324,4,520,520,68500
1950,8765,4,951,951,106500
1950,12342,4,861,861,82500
1950,5330,4,420,708,82500
1950,7446,4,788,788,100000
1950,9340,4,672,672,113000
1950,4118,4,693,693,52500
1950,4608,4,747,747,80000
1950,8712,4,859,1178,102776
1950,11040,4,637,1336,108000
1950,7500,4,698,1128,68400
1950,5400,4,840,1374,105000
1950,7804,4,1122,1981,135000
1950,6000,4,672,1324,128000
1950,6060,4,732,1123,100000
1950,8405,4,0,1529,98000
1950,4712,4,747,1230,121600
1950,6240,4,0,912,80500
1950,10800,4,720,1192,135000
1950,9600,4,1095,1774,87000
1950,7740,4,622,1363,125500
1950,8500,4,649,1317,40000
1950,9906,4,686,1328,107000
1950,9084,4,755,1510,108000
1950,6204,4,795,2230,118500
1950,7200,4,0,1040,90000
1950,11340,4,777,2290,122500
1950,5600,4,0,1092,55000
1950,12180,4,672,924,80000
1950,12144,5,832,1268,133000
1950,6000,5,789,789,115000
1950,57200,5,747,1687,160000
1950,7200,5,0,1040,109500
1950,7200,5,0,1048,98300
1950,7200,5,876,988,119000
1950,8777,5,796,796,85000
1950,10625,5,458,835,83000
1950,8967,5,961,1077,67000
1950,5400,5,691,691,86000
1950,8731,5,915,1167,144000
1950,10800,5,1120,1130,120000
1950,6000,5,616,616,89000
1950,4060,5,864,864,99900
1950,6911,5,1145,1301,100000
1950,5604,5,864,864,98000
1950,6120,5,768,1015,88000
1950,8960,5,1008,1028,115000
1950,6305,5,920,954,119750
1950,6380,5,993,1048,113000
1950,6130,5,784,784,109500
1950,10594,5,768,789,96500
1950,4388,5,672,840,87000
1950,5000,5,720,803,87000
1950,5000,5,540,1440,79000
1950,8405,5,861,1367,119000
1950,10800,5,686,1652,139000
1950,12665,5,876,1416,153900
1950,8248,5,686,1250,116000
1950,7681,5,731,1343,154900
1950,5000,5,1026,1691,127000
1950,9738,5,784,1221,104900
1950,6000,5,1008,1522,102000
1950,6240,5,1042,1576,149000
1950,9439,5,912,1248,87000
1950,6240,5,896,1344,115000
1950,6120,5,927,1539,141500
1950,7200,5,731,1768,175000
1950,10134,5,735,1034,109000
1950,8160,5,756,1134,126000
1950,9600,5,728,1308,160000
1950,12358,5,720,1382,128500
1950,9084,5,616,1111,95000
1950,5720,5,676,1131,66500
1950,9492,5,768,1376,105000
1950,10930,5,913,1558,140000
1950,3500,5,720,1284,110000
1950,8480,5,832,1216,118500
1950,21286,5,720,1271,135000
1950,7585,5,810,1456,91500
1950,13710,5,910,1558,152000
1950,7015,5,709,1203,110000
1950,14762,5,0,2320,169000
1950,8525,5,940,1964,130000
1950,13132,5,747,1784,138887
1950,4571,5,624,1344,98000
1950,6402,5,596,1192,78000
1950,11345,5,928,1920,137000
1950,6270,5,1001,2002,145000
1950,13600,5,662,2337,90000
1950,7420,5,991,1077,118000
1950,7800,5,793,1118,119900
1950,10880,5,1164,1164,125000
1950,11664,6,1082,1082,119200
1950,8280,6,932,932,124000
1950,8854,6,952,952,121000
1950,8263,6,1012,1012,118400
1950,11340,6,1200,1200,125000
1950,6180,6,960,986,102000
1950,6292,6,768,790,91000
1950,9000,6,784,784,76000
1950,8520,6,714,2526,136000
1950,21780,6,1163,1674,185000
1950,7920,6,319,1406,89500
1950,4400,6,648,1118,116000
1950,10440,6,1510,2792,256000
1950,8737,6,1065,1635,210000
1950,9600,6,572,1096,79000
1950,7000,6,617,1310,112000
1950,8400,6,1181,1694,136500
1950,7558,6,896,1913,177000
1950,6000,6,862,1158,120000
1950,6240,6,884,1367,127500
1950,11275,6,854,1991,220000
1950,6240,6,816,1176,114500
1950,10480,6,1064,1639,115000
1950,8600,6,780,1376,119500
1950,9000,6,780,1375,141000
1950,6435,6,972,1577,140200
1950,6000,6,780,1412,132500
1950,9060,6,560,1258,105000
1950,9900,6,778,1489,139500
1950,9490,6,806,1578,133000
1950,6000,6,735,1218,131000
1950,8741,6,735,1487,113000
1950,5000,6,1004,1664,159000
1950,17503,6,912,1458,97500
1950,10496,6,1040,1846,143000
1950,9600,6,1032,1252,119000
1950,9900,6,1008,2210,117500
1950,6858,6,806,1647,128000
1950,22420,6,1370,2624,239000
1950,13515,6,764,1824,180500
1950,6629,6,672,1369,103600
1950,12155,6,672,1482,140000
1950,16560,6,952,2345,239000
1950,7500,6,771,1494,177500
1950,5520,6,755,2229,104000
1950,9600,6,735,2058,129500
1950,7136,6,979,1958,145000
1950,9142,6,1020,1928,137000
1950,7449,7,637,1108,139400
1950,9120,7,1026,1820,184000
1950,5700,7,572,1111,116900
1950,6292,7,861,1477,145000
1950,6120,7,952,1774,129900
1950,7758,7,1040,1818,169500
1950,7588,7,793,1802,200100
1950,7200,7,596,1762,157000
1950,10300,7,576,1710,140000
1950,24090,7,1032,2403,244400
1950,12000,7,704,1564,174500
1950,8850,7,815,1690,144000
1950,7128,7,918,1646,164000
1950,10120,7,925,1889,122000
1950,11435,8,792,1517,230000
1951,19138,4,864,864,141000
1951,8877,4,836,1220,102000
1951,7350,5,952,952,139000
1951,10680,5,2136,2136,137900
1952,10206,3,0,944,82000
1952,6420,5,980,1148,123500
1952,8712,5,540,1044,55993
1952,8520,5,910,1385,166000
1952,7596,5,960,1960,124500
1953,6000,4,936,936,93000
1953,5825,4,600,747,79900
1953,10634,5,608,1319,123000
1953,7677,5,773,773,110000
1953,15750,5,1165,1336,157000
1953,21000,6,1809,2259,217000
1953,9600,6,1416,1644,167000
1953,10452,6,1094,1094,155000
1953,12160,6,1505,1505,149500
1953,15593,7,1304,2287,225000
1954,9450,4,894,894,110000
1954,8190,4,948,948,119000
1954,10215,4,864,948,111000
1954,7800,5,1268,1268,132000
1954,21750,5,988,988,113000
1954,9000,5,936,1128,118000
1954,11425,5,1008,1008,137000
1954,13284,5,1383,1383,165000
1954,9920,5,1056,1063,128000
1954,8335,5,0,1124,93000
1954,12150,5,1050,1795,131500
1954,6000,5,811,1387,93000
1954,11310,6,1367,1375,140000
1954,7227,6,832,832,105500
1955,13680,3,0,1733,139600
1955,10434,4,1005,1005,115000
1955,6040,4,0,1152,82000
1955,12108,4,1440,1440,118000
1955,7390,5,1098,1098,135000
1955,6900,5,740,778,120500
1955,16466,5,816,1393,135500
1955,7134,5,384,1360,130000
1955,34650,5,1056,1056,145000
1956,8475,4,952,952,135750
1956,17140,4,1134,1229,135000
1956,8926,4,672,960,112000
1956,5500,4,882,882,103200
1956,12702,5,0,882,97000
1956,9571,5,1144,1144,129000
1956,10152,5,1048,1048,135000
1956,9600,5,1050,1050,128900
1956,9000,6,1196,1196,139000
1956,9855,6,1436,1689,127500
1957,8593,4,907,907,109008
1957,11500,4,0,845,84000
1957,8400,5,1314,1314,145000
1957,6000,5,928,928,112500
1957,14850,5,1092,1092,141000
1957,7100,5,816,816,129900
1957,11988,6,1244,1244,150000
1957,11900,6,1392,1392,166000
1957,8400,6,1478,1478,156500
1958,8877,4,816,816,100000
1958,5900,4,440,869,85500
1958,9571,5,1276,1276,60000
1958,9100,5,864,864,129900
1958,10150,5,912,912,114500
1958,13650,5,1052,1920,172500
1958,11344,5,874,1524,144000
1958,6930,5,1062,1352,130000
1958,11475,5,1584,1776,110000
1958,9464,6,1080,1080,136000
1958,9750,6,1442,1442,157900
1958,14375,6,819,1344,137500
1958,9120,6,1261,1261,163000
1958,10482,6,588,1138,145000
1958,10382,6,588,1095,140000
1959,9320,4,950,1225,128950
1959,17120,4,0,1588,134432
1959,10552,5,1398,1700,165500
1959,16905,5,1350,1328,170000
1959,7945,5,1150,1150,141000
1959,8339,5,0,882,106500
1959,9600,5,1041,1041,124500
1959,7931,5,1148,1148,132500
1959,7560,5,1040,1040,133700
1959,9000,5,1006,1006,80000
1959,17755,5,1466,1466,149900
1959,12160,5,1188,1188,142000
1959,8163,5,1144,1144,143000
1959,8760,6,1194,1194,148000
1959,7332,6,864,864,120000
1959,9100,6,864,864,127500
1959,8910,6,655,1194,159500
1959,10721,6,1252,1252,142000
1960,12493,4,1100,1100,141000
1960,9100,5,742,935,79500
1960,8892,5,1065,1065,126500
1960,7931,5,1269,1269,155000
1960,9300,5,1268,1264,167500
1960,10998,5,984,1604,117000
1960,7910,5,1075,1507,127000
1960,11600,5,1105,2274,154300
1960,10920,6,1253,1253,157000
1960,31770,6,1080,1656,215000
1960,11600,6,1383,1383,145250
1960,17600,6,1478,1478,157500
1961,7943,4,1029,1029,118500
1961,6970,4,1040,1120,129000
1961,8500,5,1235,1235,98600
1961,9945,5,988,988,128500
1961,7875,5,1144,1144,139950
1961,10659,5,1050,1050,136500
1961,8000,5,1800,1800,141000
1961,10197,6,1362,1362,163000
1962,9842,4,0,1224,101800
1962,12968,5,912,912,144000
1962,11616,5,1092,1092,139000
1962,13673,5,1140,1696,143900
1962,6600,5,894,894,109500
1962,7420,5,1057,1057,132000
1962,26142,5,1188,1188,157900
1962,7590,5,864,1812,169500
1962,10205,5,925,999,134500
1962,7728,5,1106,1190,132500
1962,10000,6,1116,1116,160000
1962,9247,6,858,1716,171000
1962,19296,6,1362,1382,176000
1962,9150,6,1099,1431,165000
1963,25286,4,1064,1040,132250
1963,8480,5,970,970,132500
1963,8816,5,1121,1121,139000
1963,7500,5,1040,1040,133000
1963,35133,5,1572,1572,186700
1963,8700,5,1120,1128,155000
1963,9204,5,1144,1144,124000
1963,8472,5,816,816,110000
1963,9100,5,1728,1728,125000
1963,9500,6,1394,1394,159000
1963,9790,6,1328,1328,143000
1963,7056,6,780,1796,140000
1963,8800,6,936,1054,137500
1964,7800,5,912,912,115000
1964,36500,5,1624,1582,190000
1964,14112,5,1152,1152,180500
1964,10624,5,1728,1728,119000
1964,10175,6,1425,1425,180500
1964,8250,6,1092,1092,145000
1964,10004,6,1516,1516,167000
1964,8800,6,1251,1251,160000
1964,9760,6,780,1611,167900
1964,9020,6,1248,1350,168500
1964,12095,6,1127,1445,158000
1965,10921,4,960,960,94750
1965,7560,5,1029,1339,139000
1965,11200,5,1040,1040,129500
1965,8281,5,864,864,62383
